,id,x,y,cluster
0,0,4.63502,29.587898,0
1,1,-35.42207,46.62254,1
2,2,44.821133,26.743278999999998,2
3,3,15.781806,-44.40757,3
4,4,-4.959263,-54.375248,3
5,5,13.110510999999999,-26.92411,3
6,6,-46.419468,14.086401,4
7,7,-30.525581,-23.492302,5
8,8,-38.542365999999994,49.146862,1
9,9,-60.692303,15.68128,4
10,10,-56.17924,17.8745,4
11,11,-40.814679999999996,-41.364582,5
12,12,13.644804999999998,37.635906,0
13,13,18.848485999999998,-18.229332,3
14,14,53.89934,4.065180000000001,6
15,15,4.798237,32.420357,0
16,16,3.853588,-32.734383,3
17,17,-36.086273,49.612213,1
18,18,-36.581955,-26.728690999999998,5
19,19,5.848809200000001,-29.228841999999997,3
20,20,15.509003,18.476833,0
21,21,9.067278,-51.995876,3
22,22,-11.360373,8.643597999999999,0
23,23,-46.624953999999995,17.847721,4
24,24,-60.00487,6.783769,4
25,25,46.77882,34.579056,2
26,26,38.91152,22.588532999999998,2
27,27,-9.162398,12.033719999999999,0
28,28,-38.794563000000004,55.484215,1
29,29,38.822784000000006,27.868195,2
30,30,23.763579999999997,-35.579754,3
31,31,-50.742847,13.46744,4
32,32,-63.347443000000005,11.713438,4
33,33,18.696768,-47.859776000000004,3
34,34,18.416262,-15.997589999999999,3
35,35,-34.555873999999996,-40.07415,5
36,36,7.8595004,20.807164999999998,0
37,37,11.562073,28.382896000000002,0
38,38,20.00948,-42.430706,3
39,39,-0.92069507,-39.541096,3
40,40,38.06129,20.216827,2
41,41,42.94786,24.560072,2
42,42,16.023502,-50.667637,3
43,43,24.290731,-39.043243,3
44,44,0.790863,-31.239520000000002,3
45,45,-43.678196,51.48076,1
46,46,25.819193,-15.797123999999998,3
47,47,14.076320999999998,21.443512,0
48,48,-1.2994671999999998,19.429865,0
49,49,-45.485279999999996,8.783382000000001,4
50,50,-11.767941,28.302248,0
51,51,23.827858,-36.065197,3
52,52,11.744788,-32.990177,3
53,53,-48.841274,1.8375721999999999,4
54,54,72.42948,2.733437,6
55,55,-35.471053999999995,-43.550545,5
56,56,-43.081990000000005,-44.687313,5
57,57,-29.345309999999998,-28.565548,5
58,58,-41.420840000000005,54.620580000000004,1
59,59,6.8503966,-38.447575,3
60,60,1.3394523999999999,16.37714,0
61,61,26.019066,-25.897339000000002,3
62,62,10.672774,-46.115565999999994,3
63,63,-34.235714,57.356483,1
64,64,-44.286484,53.35365,1
65,65,21.031115,-53.50754499999999,3
66,66,52.080172999999995,27.436087,2
67,67,22.65798,-51.101603999999995,3
68,68,-35.42025,-38.942890000000006,5
69,69,0.36415383,38.045372,0
70,70,62.99345,-5.3407593,6
71,71,51.2078,-4.0304150000000005,6
72,72,-58.479572,19.571201000000002,4
73,73,16.00434,-6.5911417000000005,3
74,74,14.854339999999999,-24.2669,3
75,75,-9.250177,43.679836,0
76,76,18.313894,-13.570219,3
77,77,-10.755809,12.405666,0
78,78,15.886916000000001,-17.716032000000002,3
79,79,41.048615000000005,30.887103999999997,2
80,80,4.7254057000000005,60.308926,7
81,81,-24.72069,-17.984236,5
82,82,-61.53198199999999,15.476597,4
83,83,-2.8496892000000003,7.695225,0
84,84,-4.0504809999999996,-47.56726,3
85,85,-38.60472,-39.725,5
86,86,18.497757,-24.434670999999998,3
87,87,2.4081495,-15.843532000000002,3
88,88,-38.37161,56.913647,1
89,89,-18.440079,24.747695999999998,0
90,90,17.41188,-43.13646,3
91,91,48.026337,32.691376,2
92,92,72.07786,2.7244610000000002,6
93,93,-39.026084999999995,-43.23464,5
94,94,12.243288,-60.741756,3
95,95,-64.41336,4.2381487,4
96,96,42.898582,24.886885,2
97,97,-65.14780999999999,5.058505,4
98,98,-14.078149,27.412983,0
99,99,0.8181584,61.421227,7
100,100,4.6739063,-56.39594,3
101,101,-4.543069999999999,14.776995000000001,0
102,102,14.648041000000001,-47.485434999999995,3
103,103,-32.41195,50.762295,1
104,104,-26.679971999999996,-22.772738,5
105,105,25.917002,-24.436785,3
106,106,13.641781,37.6468,0
107,107,-41.32349,-27.705956,5
108,108,-0.9368738000000001,60.012130000000006,7
109,109,45.701233,28.426588,2
110,110,-33.996520000000004,-14.961925,5
111,111,-28.188793,-18.879242,5
112,112,-64.297165,4.6415234000000005,4
113,113,-32.505337,-25.080793,5
114,114,17.23894,-16.785118,3
115,115,19.511597000000002,-20.270958,3
116,116,-4.988889,36.762005,0
117,117,14.003045000000002,-26.174301,3
118,118,-35.28334,-31.547990000000002,5
119,119,7.4418473,54.483025,7
120,120,-67.84173,2.217376,4
121,121,1.4372253000000001,-54.860347999999995,3
122,122,13.458135999999998,-48.07658,3
123,123,-3.8295269999999997,20.313147,0
124,124,-15.587135,26.606296999999998,0
125,125,-45.195384999999995,6.2333965,4
126,126,17.169838000000002,-12.418381,3
127,127,-57.31048199999999,12.458535000000001,4
128,128,-26.964151,-29.639174,5
129,129,-11.31969,31.391401000000002,0
130,130,-39.51764,-32.3223,5
131,131,53.102295,-7.2078576000000005,6
132,132,12.880183,25.843056,0
133,133,-35.070890000000006,-48.198853,5
134,134,-1.1128718,19.688463,0
135,135,41.022644,34.070842999999996,2
136,136,3.405783,57.77445,7
137,137,-42.447964,5.9989624,4
138,138,-34.908356,-44.04533,5
